product_id,listing_id,recorded_at,recorded_price,anomaly,out_of_stock,trust_score
,36543,2026-03-19T19:01:19+00:00,959,0,0,57.31
,36544,2026-03-19T19:01:19+00:00,959,0,0,24.72
,36545,2026-03-19T19:01:19+00:00,999,0,0,57.31
,36546,2026-03-19T19:01:19+00:00,999,0,0,57.31
,36547,2026-03-19T19:01:19+00:00,999,0,0,71.87
,36548,2026-03-19T19:01:19+00:00,999,0,0,57.31
,36549,2026-03-19T19:01:19+00:00,1009,0,0,71.87
,36550,2026-03-19T19:01:19+00:00,1019,0,0,57.31
,36551,2026-03-19T19:01:19+00:00,1019,0,0,57.31
,36552,2026-03-19T19:01:19+00:00,1029,0,0,37.59
,36553,2026-03-19T19:01:19+00:00,1029,0,0,71.87
,36554,2026-03-19T19:01:19+00:00,1029,0,0,71.87
,36555,2026-03-19T19:01:19+00:00,1029,0,0,71.87
,36556,2026-03-19T19:01:19+00:00,1029,0,0,57.31
,36557,2026-03-19T19:01:19+00:00,1039,0,0,64.48
,36558,2026-03-19T19:01:19+00:00,1049,0,0,57.31
,36559,2026-03-19T19:01:19+00:00,1049,0,0,57.31
,36560,2026-03-19T19:01:19+00:00,1049,0,0,37.59
,36561,2026-03-19T19:01:19+00:00,1059,0,0,71.87
,36562,2026-03-19T19:01:19+00:00,1069,0,0,71.87
,36563,2026-03-19T19:01:19+00:00,1069,0,0,57.31
,36564,2026-03-19T19:01:19+00:00,1069,0,0,71.87
,36565,2026-03-19T19:01:19+00:00,1069,0,0,71.87
,36566,2026-03-19T19:01:19+00:00,1069,0,0,37.59
,36567,2026-03-19T19:01:19+00:00,1069,0,0,71.87
,36568,2026-03-19T19:01:19+00:00,1069,0,0,37.59
,36569,2026-03-19T19:01:19+00:00,1079,0,0,37.59
,36570,2026-03-19T19:01:19+00:00,1079,0,0,71.87
,36571,2026-03-19T19:01:19+00:00,1079,0,0,71.87
,36572,2026-03-19T19:01:19+00:00,1079,0,0,71.87
,36573,2026-03-19T19:01:19+00:00,1349,0,1,47.68
,36574,2026-03-19T19:01:19+00:00,1079,0,0,71.87
,38769,2026-03-19T19:01:19+00:00,229,0,0,62.07
,36575,2026-03-19T19:01:19+00:00,1159,0,0,37.59
,36576,2026-03-19T19:01:19+00:00,1179,0,0,78.65
,36577,2026-03-19T19:01:19+00:00,1185,0,0,37.59
,36578,2026-03-19T19:01:19+00:00,1289,0,0,37.59
,36579,2026-03-19T19:01:19+00:00,1309,0,0,65.1
,36580,2026-03-19T19:01:19+00:00,1339,0,0,76.47
,36581,2026-03-19T19:01:19+00:00,1339,0,0,54.67
,36582,2026-03-19T19:01:19+00:00,1339,0,0,54.67
,36583,2026-03-19T19:01:19+00:00,1349,0,0,69.65
,36584,2026-03-19T19:01:19+00:00,1389,0,0,69.65
,36585,2026-03-19T19:01:19+00:00,1399,0,0,54.67
,36586,2026-03-19T19:01:19+00:00,1399,0,0,52.49
,36587,2026-03-19T19:01:19+00:00,1399,0,0,69.65
,36588,2026-03-19T19:01:19+00:00,1399,0,0,69.65
,36589,2026-03-19T19:01:19+00:00,1419,0,0,57.31
,36590,2026-03-19T19:01:19+00:00,1439,0,0,37.59
,36591,2026-03-19T19:01:19+00:00,1449,0,0,54.67
,36592,2026-03-19T19:01:19+00:00,1449,0,0,69.65
,36593,2026-03-19T19:01:19+00:00,1449,0,0,69.65
,36594,2026-03-19T19:01:19+00:00,1449,0,0,37.59
,36595,2026-03-19T19:01:19+00:00,1459,0,0,69.65
,36596,2026-03-19T19:01:19+00:00,1459,0,0,69.65
,36597,2026-03-19T19:01:19+00:00,1459,0,0,54.67
,36598,2026-03-19T19:01:19+00:00,1459,0,0,54.67
,36599,2026-03-19T19:01:19+00:00,1459,0,0,57.31
,36600,2026-03-19T19:01:19+00:00,1459,0,0,54.67
,36601,2026-03-19T19:01:19+00:00,1459,0,0,54.67
,36602,2026-03-19T19:01:19+00:00,1469,0,0,71.87
,36603,2026-03-19T19:01:19+00:00,1469,0,0,69.65
,36604,2026-03-19T19:01:19+00:00,1469,0,0,69.65
,36605,2026-03-19T19:01:19+00:00,1469,0,0,69.65
,36606,2026-03-19T19:01:19+00:00,1479,0,0,54.67
,36607,2026-03-19T19:01:19+00:00,1489,0,0,37.59
,36608,2026-03-19T19:01:19+00:00,1499,0,0,69.65
,36609,2026-03-19T19:01:19+00:00,1499,0,0,69.65
,36610,2026-03-19T19:01:19+00:00,1509,0,0,54.67
,36611,2026-03-19T19:01:19+00:00,1509,0,0,69.65
,36612,2026-03-19T19:01:19+00:00,1519,0,0,69.65
,36613,2026-03-19T19:01:19+00:00,1519,0,0,69.65
,36614,2026-03-19T19:01:19+00:00,1519,0,1,78.16
,36615,2026-03-19T19:01:19+00:00,1529,0,0,69.65
,36616,2026-03-19T19:01:19+00:00,1529,0,0,69.65
,36617,2026-03-19T19:01:19+00:00,1529,0,0,69.65
,36618,2026-03-19T19:01:19+00:00,1539,0,0,54.67
,36619,2026-03-19T19:01:19+00:00,1555,0,0,54.67
,36620,2026-03-19T19:01:19+00:00,1555,0,0,54.67
,36621,2026-03-19T19:01:19+00:00,1555,0,0,54.67
,36622,2026-03-19T19:01:19+00:00,1559,0,0,49.41
,36623,2026-03-19T19:01:19+00:00,1565,0,0,69.65
,36624,2026-03-19T19:01:19+00:00,1599,0,0,69.65
,36625,2026-03-19T19:01:19+00:00,1599,0,0,54.67
,36626,2026-03-19T19:01:19+00:00,1599,0,0,54.67
,36627,2026-03-19T19:01:19+00:00,1605,0,0,69.65
,36628,2026-03-19T19:01:19+00:00,1605,0,0,69.65
